zone_id,time_period,mode,jobs_15,jobs_30,jobs_45,cluster_jobs_45,access_index_45
133095,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133121,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133122,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133151,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133152,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133161,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133162,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133163,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133164,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133171,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133172,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133173,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133181,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133182,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133183,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133184,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133191,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133192,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133201,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133202,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133203,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133211,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133212,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133213,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133214,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133221,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133222,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133223,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133231,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133232,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133233,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133241,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133251,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133252,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133253,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133261,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133262,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133271,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133272,AllDay,transit,0.0,0.0,0.0,0.0,0.0
133273,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134091,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134092,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134093,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134111,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134112,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134113,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134114,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134121,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134122,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134123,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134141,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134142,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134143,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134144,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134151,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134161,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134162,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134171,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134181,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134182,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134183,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134184,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134201,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134202,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134211,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134212,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134213,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134221,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134222,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134223,AllDay,transit,0.0,0.0,0.0,0.0,0.0
