"tract","yr_id","full_name","jobs"
"105.01","2010","Office Services","0"
"105.01","2010","Government","0"
"105.01","2010","Self-Employed","0"
"105.02","2010","Military","0"
"105.02","2010","Agriculture and Mining","0"
"105.02","2010","Construction","0"
"105.02","2010","Manufacturing","0"
"105.02","2010","Wholesale Trade","0"
"105.02","2010","Retail Trade","0"
"105.02","2010","Transporation, Warehousing, and Utilities","0"
"105.02","2010","Information","0"
"105.02","2010","Finance and Real Estate","0"
"105.02","2010","Professional and Business Services","0"
"105.02","2010","Education and Healthcare","0"
"105.02","2010","Leisure and Hospitality","0"
"105.02","2010","Office Services","0"
"105.02","2010","Government","0"
"105.02","2010","Self-Employed","0"
"106.01","2010","Military","0"
"106.01","2010","Agriculture and Mining","0"
"106.01","2010","Construction","0"
"106.01","2010","Manufacturing","0"
"106.01","2010","Wholesale Trade","0"
"106.01","2010","Retail Trade","0"
"106.01","2010","Transporation, Warehousing, and Utilities","0"
"106.01","2010","Information","0"
"106.01","2010","Finance and Real Estate","0"
"106.01","2010","Professional and Business Services","0"
"106.01","2010","Education and Healthcare","0"
"106.01","2010","Leisure and Hospitality","0"
"106.01","2010","Office Services","0"
"106.01","2010","Government","0"
"106.01","2010","Self-Employed","0"
"108","2010","Military","0"
"108","2010","Agriculture and Mining","0"
"108","2010","Construction","0"
"108","2010","Manufacturing","0"
"108","2010","Wholesale Trade","0"
"108","2010","Retail Trade","0"
"108","2010","Transporation, Warehousing, and Utilities","0"
"108","2010","Information","0"
"108","2010","Finance and Real Estate","0"
"108","2010","Professional and Business Services","0"
"108","2010","Education and Healthcare","0"
"108","2010","Leisure and Hospitality","0"
"108","2010","Office Services","0"
"108","2010","Government","0"
"108","2010","Self-Employed","0"
"109","2010","Military","0"
"109","2010","Agriculture and Mining","0"
"109","2010","Construction","0"
"109","2010","Manufacturing","0"
"109","2010","Wholesale Trade","0"
"109","2010","Retail Trade","0"
"109","2010","Transporation, Warehousing, and Utilities","0"
"109","2010","Information","0"
"109","2010","Finance and Real Estate","0"
"109","2010","Professional and Business Services","0"
"109","2010","Education and Healthcare","0"
"109","2010","Leisure and Hospitality","0"
"109","2010","Office Services","0"
"109","2010","Government","0"
"109","2010","Self-Employed","0"
"11","2010","Military","0"
"11","2010","Agriculture and Mining","0"
"11","2010","Construction","0"
"11","2010","Manufacturing","0"
"11","2010","Wholesale Trade","0"
"11","2010","Retail Trade","0"
"11","2010","Transporation, Warehousing, and Utilities","0"
"11","2010","Information","0"
"11","2010","Finance and Real Estate","0"
"11","2010","Professional and Business Services","0"
"11","2010","Education and Healthcare","0"
"11","2010","Leisure and Hospitality","0"
"11","2010","Office Services","0"
"11","2010","Government","0"
"11","2010","Self-Employed","0"
"110","2010","Military","0"
"110","2010","Agriculture and Mining","0"
"110","2010","Construction","0"
"110","2010","Manufacturing","0"
"110","2010","Wholesale Trade","0"
"110","2010","Retail Trade","0"
"110","2010","Transporation, Warehousing, and Utilities","0"
"110","2010","Information","0"
"110","2010","Finance and Real Estate","0"
"110","2010","Professional and Business Services","0"
"110","2010","Education and Healthcare","0"
"110","2010","Leisure and Hospitality","0"
"110","2010","Office Services","0"
"110","2010","Government","0"
"110","2010","Self-Employed","0"
"111","2010","Military","0"
"111","2010","Agriculture and Mining","0"
"111","2010","Construction","0"
"111","2010","Manufacturing","0"
"111","2010","Wholesale Trade","0"
"111","2010","Retail Trade","0"
"111","2010","Transporation, Warehousing, and Utilities","0"
"111","2010","Information","0"
"111","2010","Finance and Real Estate","0"
"111","2010","Professional and Business Services","0"
"111","2010","Education and Healthcare","0"
"111","2010","Leisure and Hospitality","0"
"111","2010","Office Services","0"
"111","2010","Government","0"
"111","2010","Self-Employed","0"
"113","2010","Military","0"
"113","2010","Agriculture and Mining","0"
"113","2010","Construction","0"
"113","2010","Manufacturing","0"
"113","2010","Wholesale Trade","0"
"113","2010","Retail Trade","0"
"113","2010","Transporation, Warehousing, and Utilities","0"
"113","2010","Information","0"
"113","2010","Finance and Real Estate","0"
"113","2010","Professional and Business Services","0"
"113","2010","Education and Healthcare","0"
"113","2010","Leisure and Hospitality","0"
"113","2010","Office Services","0"
"113","2010","Government","0"
"113","2010","Self-Employed","0"
"116.01","2010","Military","0"
"116.01","2010","Agriculture and Mining","0"
"116.01","2010","Construction","0"
"116.01","2010","Manufacturing","0"
"116.01","2010","Wholesale Trade","0"
"116.01","2010","Retail Trade","0"
"116.01","2010","Transporation, Warehousing, and Utilities","0"
"116.01","2010","Information","0"
"116.01","2010","Finance and Real Estate","0"
"116.01","2010","Professional and Business Services","0"
"116.01","2010","Education and Healthcare","0"
"116.01","2010","Leisure and Hospitality","0"
"116.01","2010","Office Services","0"
"116.01","2010","Government","0"
"116.01","2010","Self-Employed","0"
"116.02","2010","Military","0"
"116.02","2010","Agriculture and Mining","0"
"116.02","2010","Construction","0"
"116.02","2010","Manufacturing","0"
"116.02","2010","Wholesale Trade","0"
"116.02","2010","Retail Trade","0"
"116.02","2010","Transporation, Warehousing, and Utilities","0"
"116.02","2010","Information","0"
"116.02","2010","Finance and Real Estate","0"
"116.02","2010","Professional and Business Services","0"
"116.02","2010","Education and Healthcare","0"
"116.02","2010","Leisure and Hospitality","0"
"116.02","2010","Office Services","0"
"116.02","2010","Government","0"
"116.02","2010","Self-Employed","0"
"117","2010","Military","0"
"117","2010","Agriculture and Mining","0"
"117","2010","Construction","0"
"117","2010","Manufacturing","0"
"117","2010","Wholesale Trade","0"
"117","2010","Retail Trade","0"
"117","2010","Transporation, Warehousing, and Utilities","0"
"117","2010","Information","0"
"117","2010","Finance and Real Estate","0"
"117","2010","Professional and Business Services","0"
"117","2010","Education and Healthcare","0"
"117","2010","Leisure and Hospitality","0"
"117","2010","Office Services","0"
"117","2010","Government","0"
"117","2010","Self-Employed","0"
"118.01","2010","Military","0"
"118.01","2010","Agriculture and Mining","0"
"118.01","2010","Construction","0"
"118.01","2010","Manufacturing","0"
"118.01","2010","Wholesale Trade","0"
"118.01","2010","Retail Trade","0"
"118.01","2010","Transporation, Warehousing, and Utilities","0"
"118.01","2010","Information","0"
"118.01","2010","Finance and Real Estate","0"
"118.01","2010","Professional and Business Services","0"
"118.01","2010","Education and Healthcare","0"
"118.01","2010","Leisure and Hospitality","0"
"118.01","2010","Office Services","0"
"118.01","2010","Government","0"
"118.01","2010","Self-Employed","0"
"118.02","2010","Military","0"
"118.02","2010","Agriculture and Mining","0"
"118.02","2010","Construction","0"
"118.02","2010","Manufacturing","0"
"118.02","2010","Wholesale Trade","0"
"118.02","2010","Retail Trade","0"
"118.02","2010","Transporation, Warehousing, and Utilities","0"
